Mol,Med,Voie,Cible,Indication,Code_LES,Code_ATU/Post_ATU/AAC/AAP/CPC,Code_UCD
LISOCABTAGENE MARALEUCEL,BREYANZI,IV,Hématologique,"Traitement des patients adultes atteints d’un lymphome diffus à grandes cellules B (LDGCB), d’un lymphome de haut grade à cellules B (LHGCB) ou d’un lymphome médiastinal primitif à grandes cellules B (LMPGCB), réfractaires ou en rechute dans les 12 mois suivant un traitement de première ligne et éligibles à une autogreffe de cellules souches hématopoïétiques (CSH).",,CLISO01,9002451
LOMUSTINE,CEENU,PO,Hématologique,"Maladie de Hodgkin - comme traitement secondaire, en monothérapie ou en association à d'autres médicaments actifs.",,NXXXX00,
LOMUSTINE,LOMUSTINE MEDAC,PO,Bronchopulmonaire,"Traitement palliatif ou d’appoint, habituellement en association avec une radiothérapie et/ou une chirurgie dans le cadre de schémas thérapeutiques multiples dans les cancers du poumon (en particulier le carcinome à petites cellules)",,,
LONCASTUXIMAB TESIRINE,ZYNLONTA,,Hématologique,"Traitement du lymphome diffus à grandes cellules B et du lymphome de haut grade à cellules B chez l'adulte, en monothérapie dans les formes récidivantes ou réfractaires après deux lignes de traitement systémique ou plus.",,,
LONCASTUXIMAB TÉSIRINE,ZYNLONTA,IV,Hématologique,"Traitement du lymphome diffus à grandes cellules B et du lymphome de haut grade à cellules B chez l'adulte, en monothérapie dans les formes récidivantes ou réfractaires après deux lignes de traitement systémique ou plus.",,,
LORLATINIB,LORLATINIB,PO,Bronchopulmonaire,"Cancer bronchique non à petites cellules (CBNPC) métastatique, ALK-positif, ayant progressé après au moins deux lignes de traitement par inhibiteur de tyrosine kinase de l'ALK, en monothérapie chez le patient adulte non éligible à un essai clinique actuellement en cours en France",,CLORL01,
LORLATINIB,LORVIQUA,PO,Bronchopulmonaire,En monothérapie dans le traitement des patients adultes atteints d’un cancer du poumon non à petites cellules (CPNPC) ALK (kinase du lymphome anaplasique)-positif avancé non préalablement traité par un inhibiteur de l’ALK.,,,
LURBINECTEDIN,LURBINECTEDIN ,IV,Bronchopulmonaire,Cancer bronchique à petites cellules,,NLURB02,9439660
LUTECIUM  VIPIVOTIDE TETRAXETAN,PLUVICTO,,Uro/néphrologie,"En association à un traitement de privation androgénique avec ou sans inhibiteur de la voie du récepteur des androgènes, dans le traitement des patients adultes ayant un cancer de la prostate positif pour l'antigène PSMA résistant à la castration en progression qui a été traité par inhibition de la voie du récepteur des androgènes et une chimiothérapie à base de taxane.",,CLUTE01,"9001699
9002980"
LUTECIUM OXODOTREOTIDE,LUTATHERA,,Digestif,"Méningiome de tous grades, exprimant les récepteurs de la somatostatine de type 2 lors de l’imagerie TEP des récepteurs de la somatostatine, après échec du traitement de référence (chirurgie, radiothérapie/radiochirurgie) ou impossibilité de le mettre en œuvre (lésions multiples, lésions inaccessibles), sur proposition de la RCP nationale Omega.",,NLUTE05,9408211
LUTÉCIUM  VIPIVOTIDE TETRAXETAN,PLUVICTO,IV,Uro/néphrologie,"En association à un traitement de privation androgénique avec ou sans inhibiteur de la voie du récepteur des androgènes, dans le traitement des patients adultes ayant un cancer de la prostate positif pour l'antigène PSMA résistant à la castration en progression qui a été traité par inhibition de la voie du récepteur des androgènes et une chimiothérapie à base de taxane.",,CLUTE01,"9001699
9002980"
LUTÉCIUM OXODOTRÉOTIDE,LUTATHERA,IV,Digestif,"Méningiome de tous grades, exprimant les récepteurs de la somatostatine de type 2 lors de l’imagerie TEP des récepteurs de la somatostatine, après échec du traitement de référence (chirurgie, radiothérapie/radiochirurgie) ou impossibilité de le mettre en œuvre (lésions multiples, lésions inaccessibles), sur proposition de la RCP nationale Omega.",,NLUTE05,9408211
LUVELTAMAB TAZEVIBULIN,"STRO-002, ",IV,Hématologique,Leucémie aigue myéloïde,,NLUVE01,9003260
LÉNALIDOMIDE,REVLIMID,PO,Hématologique,"En association à la dexaméthasone, pour le traitement du myélome multiple chez les patients ayant déjà reçu au moins un traitement antérieur.",,,
LÉTROZOLE,FEMARA,PO,Sein,Prolongation du traitement adjuvant du cancer du sein hormonodépendant invasif chez la femme ménopausée ayant préalablement reçu un traitement adjuvant standard par le tamoxifène pendant 5 ans,,,
MAGROLIMAB,MAGROLIMAB,IV,Hématologique,"En association avec l’Azacitidine dans la Leucémie Myéloïde Aiguë en rechute ou réfractaire après au moins une ligne de traitement chez les patients non éligibles à une chimiothérapie intensive, et non éligibles à la greffe, sans alternative thérapeutique et non éligibles à un essai clinique avec réalisation au préalable d'un phénotypage érythrocytaire étendu.",,NMAGR01,9003099
MEBENDAZOLE,VERMOX,PO,SNC,Patient âgé de plus de 2 ans présentant un gliome infiltrant le tronc cérébral après échec d’au moins un traitement incluant la radiothérapie et la chimiothérapie/thérapie ciblée (exemple : protocole Biomede) ET en réponse/stabilisation suite à un nouveau protocole de radiothérapie ou en rechute/progression lorsque un nouveau protocole de radiothérapie n’est pas envisageable,,NMEBE01,"9455452 (20 mg/mL)
9299437 (500 mg)"
MEGESTROL,MEGACE,PO,Sein,Traitement palliatif des carcinomes du sein.,,,
MELPHALAN,ALKERAN,IV,Sein,"Intensification thérapeutique, il est utilisé seul ou en association avec d'autres agents cytotoxiques et/ou irradiation corporelle étendue ou totale dans le traitement de l'adénocarcinome mammaire.",,,
MELPHALAN,PHELINUN,IV,Hématologique,PHELINUN en association avec d’autres médicaments cytotoxiques est indiqué comme traitement de conditionnement à intensité réduite (CIR) avant une allogreffe de cellules souches hématopoïétiques (allo-GSCH) chez les adultes atteints d’hémopathies malignes,,,
MELPHALAN FLUFENAMIDE,MELFLUFEN,,Hématologique,"Patients adultes atteints de myélome multiple récidivant et réfractaire ayant reçu au moins 2 lignes de traitement antérieures et étant réfractaire à au moins un inhibiteur de protéasome, un agent immunomodulateur et un anticorps monoclonal anti CD-38 (réfractaire triple classe).",,NMELP03,
MELPHALAN FLUFENAMIDE,PEPAXTI,,Hématologique,"En association à la dexaméthasone dans le traitement des patients adultes atteints d'un myélome multiple qui ont reçu au moins trois lignes de traitement et dont la maladie est réfractaire à au moins un inhibiteur du protéasome, un immunomodulateur et un anticorps monoclonal anti-CD38 et qui ont connu une progression de la maladie lors ou après le dernier traitement.",,,
MELPHALAN FLUFÉNAMIDE,MELFLUFEN,IV,Hématologique,"Patients adultes atteints de myélome multiple récidivant et réfractaire ayant reçu au moins 2 lignes de traitement antérieures et étant réfractaire à au moins un inhibiteur de protéasome, un agent immunomodulateur et un anticorps monoclonal anti CD-38 (réfractaire triple classe).",,NMELP03,
MELPHALAN FLUFÉNAMIDE,PEPAXTI,IV,Hématologique,"En association à la dexaméthasone dans le traitement des patients adultes atteints d'un myélome multiple qui ont reçu au moins trois lignes de traitement et dont la maladie est réfractaire à au moins un inhibiteur du protéasome, un immunomodulateur et un anticorps monoclonal anti-CD38 et qui ont connu une progression de la maladie lors ou après le dernier traitement.",,,
MERCAPTOPURINE,PURINETHOL,PO,Hématologique,Le Purinéthol est indiqué dans le traitement de la leucémie aiguë. Il est utilisé en traitement d’induction de la rémission et en particulier en traitement d'entretien dans les cas de leucémies aiguës lymphoblastiques (LAL),,,
MERCAPTOPURINE,XALUPRINE,PO,Hématologique,Traitement de la leucémie aiguë lymphoblastique (LAL) chez les adultes et adolescents.,,,
METHOTREXATE,IMENOR,PO,Hématologique,"Traitement d’entretien dans la leucémie lymphoblastique aigüe (LLA) chez l’adulte, les adolescents et les enfants âgés d’au moins 3 ans",,,
METHOTREXATE,LEDERTREXATE,"IM
 IV
 SC",Hématologique,A haute dose essentiellement : Leucémies aiguës lymphoblastiques de l’enfant (traitement de consolidation et prophylaxie de l’atteinte du système nerveux central).,,,
METHOTREXATE,METHOTREXATE,PO,Hématologique,En traitement d’entretien d’une leucémie aigüe lymphoblastique ou chez les patients qui ne peuvent pas avaler les comprimés.,,NMETH04,9428426
METHOTREXATE,METOTAB,PO,Hématologique,"Traitement d’entretien dans la leucémie lymphoblastique aigüe (LLA) chez l’adulte, les adolescents et les enfants âgés d’au moins 3 ans",,,
METHOTREXATE,NOVATREX,PO,Hématologique,Traitement d'entretien des leucémies aigues lymphoblastiques,,,
METHOXSALENE,MÉTHOXSALÈNE MACOPHARMA,,Hématologique,Chez les adultes pour une utilisation extracorporelle dans le traitement palliatif du lymphome cutané à cellules T à un stade avancé chez les patients qui n’ont pas répondu à d’autres formes de traitement.,,,
METHOXSALENE,UVADEX,,Hématologique,"Employé conjointement au Système de Photophérèse THERAKOS CELLEX dans le traitement palliatif des manifestations cutanées (placards, plaques étendues, érythrodermie) des lymphomes cutanés à cellules T (CTCL) au stade avancé (T2 - T4), uniquement chez des patients n'ayant pas répondu à d'autres formes de traitement (puvathérapie, corticoïdes systémiques, caryolysine, interféron alpha).",,,
MIDOSTAURINE,RYDAPT,PO,Hématologique,"Dans le traitement des patients adultes présentant une leucémie aigue myéloide nouvellement diagnostiquée avec mutation du gène FLT3, en association avec une chimiothérapie standard d'indication associant daunorubicine et cytarabine et une chimiothérapie de consolidation avec cytarabine à haute dose, suivie pour les patients en rémission complète, d'un traitement d'entretin par Rydapt en monothérapie",,,
MIRVETUXIMAB SORAVTANSINE,MIRVETUXIMAB SORAVTANSINE,IV,Gynécologique,Tumeur maligne de l'ovaire,,NMIRV01,9002659
MITOMYCINE,MITOMYCINE ACCORD,IV,Autre,"Dans le cadre d'une polychimiothérapie, dans le carcinome bronchique non à petites cellules",,,
MITOMYCINE,MITOMYCINE MEDAC,Intravésicale,Uro/néphrologie,Tumeur de la vessie,,,
MITOMYCINE,MITOMYCINE SUBSTIPHARM,IV,Autre,"Adénocarcinomes de l'estomac, du pancréas, du côlon, du rectum, du sein et leurs métastases",,,
MITOTANE,LYSODREN,PO,Neuroendocrine,"Traitement symptomatique du carcinome corticosurrénalien évolué (non opérable, métastatique ou récidivant) [CCS]. 
L'efficacité de Lysodren sur le carcinome corticosurrénalien non fonctionnel n'est pas établie",,,
MITOXANTRONE,NOVANTRONE,IV,Hématologique,"En association à d’autres agents anticancéreux, Mitoxantrone est indiqué dans le traitement d'induction de la rémission dans la leucémie myéloïde chronique chez les patients en crise blastique.",,,
MOBOCERTINIB,MOBOCERTINIB,PO,Bronchopulmonaire,Cancer bronchique non à petites cellules,,NMOBO02,9000428
MOGAMULIZUMAB,POTELIGEO,IV,Hématologique,Mycosis fongoïde stades IB-II non transformé réfractaire chez l’adulte après échec d’au moins 2 traitements systémiques antérieurs,,,
MOLIBRESIB,MOLIBRESIB,PO,Autre,Carcinome de la ligne médiane NUT transloqué en cas d’échec d’une chimiothérapie à base de cisplatine,,NMOLI01,
MOMELOTINIB,MOMELOTINIB,PO,Hématologique,Myélofibrose,,NMOME01,"9003082 (100 mg)
9003083 (150 mg)
9003084 (200 mg)"
MOMELOTINIB,OMJJARA,PO,Hématologique,"Traitement de la splénomégalie ou des symptômes associés chez l'adulte présentant une anémie modérée à sévère et atteint de myélofibrose primitive, de myélofibrose secondaire à une polyglobulie de Vaquez ou de myélofibrose post-thrombocythémie essentielle, qui n'ont jamais reçu d'inhibiteur de JAK ou qui ont été traités par le ruxolitinib",,,
MOSUNETUZUMAB,LUNSUMIO,IV,Hématologique,En monothérapie pour le traitement des patients adultes atteints d’un lymphome folliculaire (FL) récidivant ou réfractaire qui ont reçu au moins deux traitements systémiques antérieurs,,,
MÉTHOXSALÈNE,METHOXSALENE MACOPHARMA,,Hématologique,Chez les adultes pour une utilisation extracorporelle dans le traitement palliatif du lymphome cutané à cellules T à un stade avancé chez les patients qui n’ont pas répondu à d’autres formes de traitement.,,,
MÉTHOXSALÈNE,MÉTHOXSALÈNE MACOPHARMA,Extracorporelle,Hématologique,Chez les adultes pour une utilisation extracorporelle dans le traitement palliatif du lymphome cutané à cellules T à un stade avancé chez les patients qui n’ont pas répondu à d’autres formes de traitement.,,,
MÉTHOXSALÈNE,UVADEX,Extracorporelle,Hématologique,"Employé conjointement au Système de Photophérèse THERAKOS CELLEX dans le traitement palliatif des manifestations cutanées (placards, plaques étendues, érythrodermie) des lymphomes cutanés à cellules T (CTCL) au stade avancé (T2 - T4), uniquement chez des patients n'ayant pas répondu à d'autres formes de traitement (puvathérapie, corticoïdes systémiques, caryolysine, interféron alpha).",,,
NAB-PACLITAXEL,ABRAXANE,IV,Digestif,En association avec la gemcitabine est indiqué dans le traitement de première ligne de l’adénocarcinome du pancréas métastatique chez les patients adultes,,,
NAVITOCLAX,NAVITOCLAX,PO,Hématologique,Leucémie aiguë myéloide,,NNAVI01,9001428
NELARABINE,ATRIANCE,IV,Hématologique,"Traitement des patients adultes ou pédiatriques ayant une leucémie aiguë lymphoblastique à cellules T (LAL-T) ou un lymphome lymphoblastique à cellules T, non répondeurs ou en rechute après au moins deux lignes de chimiothérapie",I000028,,9304718
NERATINIB,NERLYNX,,Sein,Traitement adjuvant prolongé des patients adultes ayant un cancer du sein précoce à récepteurs hormonaux positifs caractérisé par une surexpression/amplification de HER2 et ayant terminé le traitement adjuvant à base de trastuzumab depuis moins d'un an,,,
NILOTINIB,TASIGNA,PO,Hématologique,"Chez l'adulte dans le traitement de la LMC chromosome Philadelphie positive (Ph+) en phase chronique et en phase accélérée, résistant ou intolérant à un traitement antérieur incluant l'imatinib. Les données d'efficacité chez les patients ayant une LMC en crise blastique ne sont pas disponibles.",,,
NILUTAMIDE,ANANDRON,PO,Uro/néphrologie,"Traitement du cancer de la prostate métastasé en co-prescription avec la castration chirurgicale ou chimique, l’efficacité s’observant chez les patients non traités antérieurement (moins de 10% de réponses lorsqu’une première thérapeutique hormonale a été tentée et s’est avérée inefficace ou dépassée).",,,
NINTEDANIB,VARGATEF,,Bronchopulmonaire,"En association au docétaxel dans le traitement des patients adultes atteints d’un cancer bronchique non à petites cellules (CBNPC) localement avancé, métastatique, ou en rechute locale, de type histologique adénocarcinome, après une première ligne de chimiothérapie",,,
NINTÉDANIB,VARGATEF,PO,Bronchopulmonaire,"En association au docétaxel dans le traitement des patients adultes atteints d’un cancer bronchique non à petites cellules (CBNPC) localement avancé, métastatique, ou en rechute locale, de type histologique adénocarcinome, après une première ligne de chimiothérapie",,,
NIRAPARIB,ZEJULA,PO,Gynécologique,"En monothérapie pour le traitement d’entretien de patientes adultes atteintes d’un cancer épithélial avancé (stades FIGO III et IV) de haut grade de l’ovaire, des trompes de Fallope ou péritonéal primitif, qui sont en réponse (réponse complète ou partielle) à une première ligne de chimiothérapie à base de platine",,,
NIRAPARIB + ABIRATERONE,AKEEGA,,Uro/néphrologie,En association avec la prednisone ou la prednisolone pour le traitement de première ligne des hommes adultes atteints d’un cancer de la prostate métastatique résistant à la castration (CPRCm) qui sont asymptomatiques ou peu symptomatiques et qui présentent des altérations des gènes BRCA1/2 (germinales et/ou somatiques),,CNIRA03,"9003167 (100/500 mg)
9003168 (50/500 mg)"
NIRAPARIB + ABIRATÉRONE,AKEEGA,PO,Uro/néphrologie,En association avec la prednisone ou la prednisolone pour le traitement de première ligne des hommes adultes atteints d’un cancer de la prostate métastatique résistant à la castration (CPRCm) qui sont asymptomatiques ou peu symptomatiques et qui présentent des altérations des gènes BRCA1/2 (germinales et/ou somatiques),,CNIRA03,"9003167 (100/500 mg)
9003168 (50/500 mg)"
NIROGACESTAT,NIROGACESTAT,PO,Autre,Tumeur desmoïde,,NNIRO01,"9001185 (10 mg)
9001186 (50 mg)"
NIVOLUMAB,OPDIVO,IV,Bronchopulmonaire,"En association à l'ipilimumab et à 2 cycles de chimiothérapie à base de sels de platine, en première ligne, dans le traitement des patients adultes atteints d'un cancer bronchique non à petites cellules métastatique dont les tumeurs ne présentent pas la mutation sensibilisante de l'EGFR, ni la translocation ALK.",,,
NIVOLUMAB + RELATLIMAB,OPDUALAG,IV,Dermatologique,Traitement de première ligne du mélanome avancé non résécable ou métastatique chez les adultes et adolescents à partir de 12 ans avec une expression PD-L1 des cellules tumorales strictement inférieure à 1%.,,,
NÉRATINIB,NERLYNX,PO,Sein,Traitement adjuvant prolongé des patients adultes ayant un cancer du sein précoce à récepteurs hormonaux positifs caractérisé par une surexpression/amplification de HER2 et ayant terminé le traitement adjuvant à base de trastuzumab depuis moins d'un an,,,
OBINUTUZUMAB,GAZYVARO,IV,Hématologique,"En association à la bendamustine en induction, suivi d'un traitement d'entretien par Gazyvaro, est indiqué chez des patients atteints de lymphome folliculaire en cas de non-réponse ou de progression, pendant ou dans les 6 mois suivant un traitement incluant du rituximab",I000400,,9406761
OLAPARIB,LYNPARZA,PO,Uro/néphrologie,En association à l'abiratérone et la prednisone ou la prednisolone pour le traitement des patients adultes atteints d'un cancer de la prostate métastatique résistant à la castration chez qui une chimiothérapie est contre-indiquée,,COLAP05,"9441929 (100 mg)
9441935 (150 mg)"
OLUTASIDENIB,REZLIDHIA,PO,Hématologique,Leucémie aiguë myéloide,,NOLUT01,9003327
OSIMERTINIB,TAGRISSO,PO,Bronchopulmonaire,"En monothérapie dans le traitement adjuvant, après résection tumorale complète et chimiothérapie adjuvante si indiquée, des patients adultes atteints d’un cancer bronchique non à petites cellules (CBNPC) de stade IB – IIIA avec mutations activatrices du récepteur du facteur de croissance épidermique (EGFR) par délétion de l’exon 19 ou substitution de l’exon 21 (L858R) et présentant un score ECOG 0 ou 1.",,COSIM02,"9416245 (40 mg)
9416251 (80 mg)"
OXALIPLATINE,ELOXATINE,IV,Digestif,L'oxaliplatine en association avec le 5-fluorouracile (5-FU) et l'acide folinique (AF) est indiqué dans le traitement adjuvant du cancer du côlon au stade III (stade C de Dukes) après résection complète de la tumeur initiale,,,
PACLITAXEL,TAXOL,IV,Sein,"Administré seul, traitement des carcinomes métastatiques du sein pour les patientes en échec, ou non candidates, au traitement classique à base d'anthracycline",,,
PALBOCICLIB,IBRANCE,PO,Sein,"Traitement du cancer du sein localement avancé ou métastatique, positif aux récepteurs hormonaux (RH) et négatif au récepteur du facteur de croissance épidermique humain-2 (human epidermal growth factor receptor 2 [HER2]-négatif) :
 - en association avec un inhibiteur de l’aromatase ,
 - en association avec le fulvestrant chez les femmes ayant été traitées antérieurement par hormonothérapie",,,
PANITUMUMAB,VECTIBIX,IV,Digestif,Traitement des patients adultes atteints d'un cancer colorectal métastatique (CCRm) avec un statut RAS non muté (type sauvage) en première ligne en association avec un protocole FOLFIRI/FOLFOX.,I000402,,"9307160 (200 mg/ 10 mL)
9307177 (400 mg/ 20 mL)
9307183 (100 mg/ 5mL)"
PANOBINOSTAT,FARYDAK,PO,Hématologique,"En association avec le bortézomib et la dexaméthasone, est indiqué pour le traitement des patients adultes atteints de myélome multiple en rechute et/ou réfractaire ayant déjà reçu au moins deux lignes de traitement antérieur incluant du bortézomib et un agent immunomodulateur",,CPANO01,"9413413 (10 mg)
9413436 (15 mg)
9413442 (20 mg)"
PAZOPANIB,VOTRIENT,PO,Uro/néphrologie,Chez l'adulte en traitement de 1re ligne des cancers du rein avancés (RCC) et chez les patients préalablement traités par des cytokines à un stade avancé de leur maladie,,,
PEGASPARGASE,ONCASPAR,IV,Hématologique,Utilisé en association à d'autres agents antinéoplasiques pour le traitement de la leucémie lymphoblastique aiguë (LLA) chez les patients pédiatriques de la naissance jusqu'à 18 ans et chez les patients adultes,,,
PEGINTERFERON ALFA-2A,PEGASYS,,Hématologique,"Traitement des syndromes myéloprolifératifs (Thrombocytémie essentielle, polyglobulie vraie, myélofibrose primitive)",,NPEGI01,"9241047
9241076
9395388"
PEGINTERFÉRON ALFA-2A,PEGASYS,SC,Hématologique,"Traitement des syndromes myéloprolifératifs (Thrombocytémie essentielle, polyglobulie vraie, myélofibrose primitive)",,NPEGI01,"9241047
9241076
9395388"
PEMBROLIZUMAB,KEYTRUDA,IV,Bronchopulmonaire,"En association à une chimiothérapie pemetrexed et sel de platine, traitement de première ligne des patients adultes atteints de CBNPC métastatique non-épidermoïde dont les tumeurs ne présentent pas de mutations d’EGFR ou d’ALK.",,,
PEMETREXED,ALIMTA,IV,Bronchopulmonaire,"En association avec le cisplatine, dans le traitement en première ligne des patients atteints de CBNPC localement avancé ou métastatique, dès lors que l'histologie n'est pas à prédominance épidermoïde.",I000011,,"9311670 (Alimta 100 mg) 9261771 (Alimta 500 mg)
9417256 (Armisarte 1g) 9417233 (Armisarte 100 mg) 9417227 (Armisarte 500 mg)
9000998 (Reddy Pharma 1000 mg) 9453660 (Reddy Pharma 100 mg) 9453677 (Reddy Pharma 500 mg)
9000989 (Accord 1000 mg) 9000985 (Accord 500 mg) 9000988 (Accord 100 mg) 9000986 (Accord 850 mg)
9000899 (Ever Pharma 1000 mg) 9000896 (Ever Pharma 500 mg) 9000897 (Ever Pharma 100 mg)
9000531 (Fresenius Kabi 1g) 9000530 (Fresenius Kabi 100 mg) 9000529 (Fresenius Kabi 500 mg)
9001108 (Hospira 1000 mg) 9001112 (Hospira 1g/40 mL) 9001109 (Hospira 100 mg) 9001110 (Hospira 500 mg/20 mL) 9001114 (Hospira 500 mg) 9001111 (Hospira 100 mg/4 mL)
9451543 (Stragen 1g) 9451537 (Stragen 100 mg) 9451520 (Stragen 500 mg)
9442805 (Viatris 1g) 9442797 (Viatris 100 mg) 9442780 (Viatris 500 mg)
9445778 (Zentiva 1g) 9445761 (Zentiva 100 mg) 9445755 (Zentiva 500 mg)
9000901 (EG 500 mg) 9000902 (EG 100 mg)
9001726 (Sun 500 mg)"
PEMIGATINIB,PEMAZYRE,PO,Digestif,Pemigatinib est indiqué en monothérapie pour le traitement des adultes atteints d’un cholangiocarcinome localement avancé ou métastatique avec fusion ou réarrangement du gène du récepteur 2 du facteur de croissance des fibroblastes (FGFR2) qui sont en rechute ou réfractaires après au moins une ligne de traitement systémique,,,
PENTOSTATINE,NIPENT,IV,Hématologique,En monothérapie dans le traitement de la leucémie à tricholeucocytes de l'adulte.,I000243,,9160509
PERTUZUMAB,PERJETA,IV,Sein,"En association au trastuzumab et à une chimiothérapie, dans le traitement adjuvant de patients adultes atteints d'un cancer du sein précoce HER2 positif avec un risque élevé de récidive.",,,
PERTUZUMAB + TRASTUZUMAB,PHESGO,SC,Sein,"En association à une chimiothérapie, dans le traitement adjuvant de patients adultes atteints d’un cancer du sein précoce HER2 positif avec un risque élevé de récidive",,,
PEXIDARTINIB,TURALIO,PO,Autre,Tumeur à cellules géantes ténosynoviales,,NTAUR02,9447719
PIFLUFOLASTAT,PYLCLARI,IV,Uro/néphrologie,"Détection de lésions positives à l’antigène membranaire spécifique de la prostate (PSMA) par tomographie par émission de positons (TEP) chez les adultes atteints d’un cancer de la prostate (CP) dans les situations cliniques suivantes : 
- Stadification initiale des patients présentant un CP à haut risque avant un traitement initial à visée curative, 
- Pour localiser une récidive du cancer de la prostate, chez les patients présentant une suspicion de récidive basée sur l’augmentation des concentrations sériques d’antigène prostatique spécifique (PSA) après un traitement initial à visée curative.",,CPIFL01,"9003612
9003613"
PIPOBROMAN,VERCYTE,PO,Hématologique,Traitement de la polyglobulie primitive (maladie de Vaquez) chez les patients intolérants ou réfractaires à l'hydroxycarbamide.,,,
PIRTOBRUTINIB,JAYPIRCA,PO,Hématologique,Traitement des adultes atteints d'un lymphome à cellules du manteau en rechute ou réfractaire précédemment traités par un inhibiteur de la tyrosine kinase de Bruton (BTK).,,,
PIXANTRONE,PIXUVRI,IV,Hématologique,"En monothérapie chez les adultes atteints d’un lymphome non hodgkinien (LNH) agressif à cellules B, à rechutes multiples ou réfractaire. Le bénéfice du traitement par la pixantrone, utilisée en chimiothérapie de cinquième ligne ou supérieure, n’a pas été établi chez les patients réfractaires au dernier traitement.",,,
PLERIXAFOR,MOZOBIL,IV,Hématologique,Patients adultes : en association avec le facteur de croissance de la lignée granulocytaire (G-CSF) pour la mobilisation des cellules souches hématopoïétiques dans le sang périphérique avant leur collecte en vue d’une autogreffe chez les patients adultes atteints de lymphome ou de myélome multiple dont les cellules se mobilisent mal.,I000236,,9338516
POLATUZUMAB,POLIVY,IV,Hématologique,"En association à la bendamustine et au rituximab, dans le traitement des patients adultes présentant un lymphome diffus à grandes cellules B (LDGCB) en rechute ou réfractaire, non candidats à une greffe de cellules souches hématopoïétiques.",,,
POMALIDOMIDE,IMNOVID,PO,Hématologique,"En association avec la dexaméthasone, dans le traitement du myélome multiple en rechute et réfractaire chez les patients adultes ayant déjà reçu au moins deux traitements antérieurs comportant le lénalidomide et le bortézomib, et dont la maladie a progressé pendant le dernier traitement.",,,
PONATINIB,ICLUSIG,PO,Hématologique,"Chez les patients adultes atteints de leucémie aiguë lymphoblastique à chromosome Philadelphie (LAL Ph+), qui présentent une résistance au dasatinib , une intolérance au dasatinib et pour qui un traitement ultérieur par imatinib n'est pas cliniquement approprié , ou qui expriment la mutation T315I.",,,
POZIOTINIB,POZIOTINIB,PO,Bronchopulmonaire,Cancer bronchique non à petites cellules avancé ou métastatique porteurs d’une mutation d’EGFR affectant l’exon 20 ayant déjà reçu une première ligne de traitement et non éligible à un essai clinique actuellement en cours en France,,NPOZI02,
PRALSETINIB,GAVRETO,PO,Bronchopulmonaire,"Cancer bronchique non à petites cellules (CBNPC), localement avancé ou métastatique, exprimant une fusion positive de RET (REarranged during Transfection), ayant reçu au moins une ligne de traitement à base de sel de platine",,NPRAS02,
PROCARBAZINE,NATULAN,PO,Bronchopulmonaire,Cancer du poumon à petites cellules (adultes).,,,
PSMA-1007,ABX-PSMA-1007 1300MBQ/ML,IV,Uro/néphrologie,"La TEP après injection de ABX-PSMA-1007 est indiquée chez un patient en récidive biologique d’un cancer de la prostate avec ré augmentation de la concentration sérique d'antigène spécifique de la prostate (PSA), traité initialement de façon radicale, pour lequel les résultats des examens cliniques, biologiques et d’imagerie comportant obligatoirement une TEP à la fluorocholine (18F) ou à la fluciclovine (18F) sont discordants ou tous négatifs et ne permettent pas de conclure sur la prise en charge du patient.",,CPSMA01,
PSMA-1007,RADELUMIN,IV,Uro/néphrologie,"Diagnostic dans le cadre d'une TEP chez les patients en récidive biologique d'un cancer de la prostate, traités initialement de façon radicale, avec réaugmentation de la concentration sérique d'antigène spécifique de la prostate (PSA).",,,
QUIZARTINIB,VANFLYTA,PO,Hématologique,"Renouvellement de traitement chez les patients atteints d'une Leucémie Aiguë Myéloïde (LAM) en rechute ou réfractaire, avec mutation FLT3-ITD positive, un ECG normal et ayant été préalablement traité par quizartinib et pour lesquels l'efficacité et la sécurité du traitement permettent de justifier sa poursuite.
 - A partir de la 3ème ligne pour les patients éligibles à une chimiothérapie d'induction en vue d'une allo-greffe (patients ayant reçu une première ligne de traitement incluant un protocole d'induction à la greffe, à base d'anthracycline + aracytine et une seconde ligne de traitement incluant un traitement de réinduction ou un agent hypométhylant)
 - Ou à partir de la 2ème ligne pour les patients non éligibles à une chimiothérapie d'induction en vue d'une allo-greffe (patients ayant reçu un agent hypométhylant).",,NQUIZ01,"9443124 (30 mg)
9445063 (20 mg)"
RADIUM 223,XOFIGO,IV,Uro/néphrologie,"En monothérapie ou en association avec un analogue de l’hormone de libération des gonadotrophines hypophysaires (LH-RH pour Luteinising Hormone-Releasing Hormone), chez les patients adultes dans le traitement du cancer de la prostate métastatique résistant à la castration (CPmRC), avec métastases osseuses symptomatiques et sans métastases viscérales connues, en progression après au moins deux lignes antérieures de traitement systémique du CPmRC (autres que les analogues de la LH-RH) ou inéligibles à tous les traitements systémiques du CPmRC disponibles.",I000504,,9397542
RALTITREXED,TOMUDEX,IV,Digestif,Traitement de la progression métastatique des cancers colorectaux chez des malades n’ayant pas reçu de fluoropyrimidine dans cette situation.,,,
RAMUCIRUMAB,CYRAMZA,IV,Bronchopulmonaire,"En association avec l’erlotinib, est indiqué dans le traitement de première ligne des patients adultes atteints d’un cancer bronchique non à petites cellules métastatique avec mutations activatrices du récepteur du facteur de croissance épidermique (EGFR).",,,
REGORAFENIB,RÉGORAFENIB,,Autre,Sarcome d'Ewing,,NREGO01,
